sex;age;sgi1;shs1;shs2;shs3;shs4;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;s1;s2;s3;s4;s5;s6;s7;s8;s9;s10;s11;s12;f1;f2;f3;f4;f5;f6;f7;f8;swls1;swls2;swls3;swls4;swls5;pwi1;pwi2;pwi3;pwi4;pwi5;pwi6;pwi7;pwi8;sgi2;adm_method
M;19;6;5;6;6;6;4;4;4;4;3;3;3;3;4;4;3;3;4;4;4;4;4;4;3;4;4;3;4;3;4;3;4;4;3;4;4;4;6;5;5;5;5;5;4;4;5;4;5;4;3;6;6;8;7;7;6;6;5;7;o
F;25;7;4;5;5;2;3;3;2;4;4;3;4;3;3;3;3;3;3;3;3;4;4;3;3;3;3;3;4;2;3;3;2;4;4;2;4;2;3;4;4;4;4;6;5;3;3;3;3;3;2;2;8;6;6;6;2;2;10;6;o
F;25;6;5;3;4;3;5;1;2;4;2;4;4;1;4;3;2;4;4;3;5;4;5;3;4;3;4;2;4;1;4;1;3;2;4;3;1;2;6;5;5;6;7;5;2;6;4;2;6;4;5;8;9;10;10;8;5;3;9;7;o
M;43;8;6;4;5;1;4;1;3;1;4;2;1;2;4;4;3;3;2;4;2;4;4;1;4;1;4;2;4;1;4;1;4;2;1;3;2;4;4;7;6;5;6;5;5;6;3;5;5;4;5;8;9;7;9;9;9;8;6;9;o
M;33;4;4;4;4;3;3;2;2;2;3;1;2;2;3;3;4;4;4;4;5;5;5;4;4;3;3;2;3;2;3;2;3;2;3;4;3;4;4;3;4;3;5;4;2;4;4;3;3;2;1;5;5;4;6;5;3;6;10;5;o
F;28;7;6;6;6;2;3;3;3;3;4;2;2;2;4;4;2;3;1;3;2;4;4;3;4;2;3;3;4;3;4;3;4;3;3;4;2;4;5;5;7;5;4;5;5;7;5;5;6;5;7;7;9;7;8;9;6;2;9;7;o
M;26;6;5;5;5;4;4;2;3;3;3;2;1;4;2;2;3;3;2;3;3;3;2;2;3;1;3;4;3;3;4;3;3;2;1;2;3;3;5;5;6;5;5;5;2;5;3;2;3;2;2;6;7;4;6;7;6;4;5;5;o
F;44;6;4;4;6;5;3;3;3;3;3;4;2;2;3;2;4;3;1;3;3;4;3;3;3;2;2;4;2;4;2;3;2;1;1;2;3;2;2;3;6;5;5;5;3;4;3;3;4;4;3;6;6;6;9;7;5;2;5;5;o
F;21;6;5;4;4;5;4;3;3;3;4;2;3;3;3;2;2;5;4;3;2;3;5;3;3;3;3;3;4;2;3;2;3;3;3;3;2;2;4;5;4;4;6;6;4;6;4;5;5;5;3;7;7;7;6;5;5;2;6;8;o
F;21;3;4;4;4;5;3;1;1;2;5;1;1;1;3;4;5;3;5;3;5;3;4;4;4;1;5;1;5;1;5;1;5;1;1;5;1;5;1;7;7;7;6;5;5;4;1;1;2;4;1;4;8;8;10;7;9;4;0;2;o
F;24;7;5;3;3;5;3;2;3;4;5;2;2;2;2;3;4;3;1;3;3;4;3;4;3;2;3;3;3;2;3;3;4;4;1;2;3;2;5;2;6;4;6;6;4;1;4;2;3;4;2;5;2;9;4;3;3;4;1;7;o
F;20;7;6;5;4;1;5;4;3;2;5;1;1;1;5;3;5;5;3;5;3;5;5;4;5;1;4;3;4;2;4;2;4;2;3;4;3;3;6;5;6;4;7;7;7;7;6;5;6;4;6;7;10;9;7;5;10;1;1;7;o
M;58;7;5;5;5;3;4;2;3;2;3;2;3;2;3;4;2;4;1;3;2;3;3;2;3;2;4;2;4;2;3;2;3;2;2;3;3;3;5;3;5;6;6;6;5;5;3;3;5;6;3;7;7;7;4;4;6;6;6;7;o
F;32;8;6;6;6;3;5;2;3;2;3;1;1;3;4;2;3;3;1;3;2;3;3;2;3;2;3;2;4;2;4;1;3;3;2;3;1;3;6;5;6;4;4;6;6;5;5;5;6;5;5;7;9;8;7;8;7;7;7;8;o
M;40;5;4;4;3;5;5;3;3;3;4;2;3;3;4;5;4;4;3;3;5;4;4;4;3;3;4;2;4;2;4;2;4;2;3;3;3;3;5;4;6;4;5;5;5;6;4;4;4;4;3;5;5;5;5;5;5;5;5;5;o
M;15;2;3;2;3;6;4;4;1;1;1;4;3;1;1;3;3;1;1;4;5;2;1;4;1;3;2;4;2;3;2;4;2;4;3;3;5;1;1;5;1;5;1;1;1;2;1;1;2;1;1;2;0;0;6;1;0;0;0;1;o
M;21;8;6;5;4;5;4;2;3;4;2;1;3;3;3;4;3;4;3;3;3;4;4;3;4;3;3;3;4;2;3;3;3;3;3;3;2;3;6;5;5;5;6;6;3;6;4;4;5;4;6;8;9;9;7;7;7;5;6;6;o
F;21;8;6;7;6;1;4;1;4;1;4;1;1;1;4;4;3;2;1;3;2;3;3;1;4;1;5;2;5;2;5;2;5;2;1;4;2;4;6;7;6;7;7;7;7;6;6;6;6;5;7;9;10;8;9;10;10;9;3;9;o
M;36;10;7;7;7;1;5;1;3;1;5;1;1;1;5;4;1;5;2;5;1;5;5;1;5;1;5;1;5;1;5;1;5;2;1;5;1;5;7;7;7;7;7;7;7;7;7;7;7;7;7;10;10;10;10;10;10;10;10;10;o
M;22;8;6;7;7;3;3;1;2;1;5;3;1;3;3;5;4;4;2;2;3;5;5;2;4;1;3;3;4;4;4;4;4;4;2;3;5;5;7;6;7;7;7;7;7;6;5;6;6;5;7;8;7;8;8;10;5;6;0;9;o
F;27;1;5;4;4;7;5;5;3;5;3;3;5;1;5;4;1;3;3;3;3;4;4;2;4;3;4;3;4;3;3;3;4;4;2;3;3;2;7;7;6;4;7;7;3;6;3;2;3;3;1;2;2;3;7;5;5;0;7;5;o
F;21;6;5;4;5;6;5;3;3;4;3;2;3;3;4;4;2;4;3;5;2;4;4;3;4;2;3;3;3;3;3;4;3;2;2;2;3;3;7;5;6;6;7;4;6;6;4;5;5;5;5;9;9;9;9;8;9;7;8;7;o
F;22;2;3;3;1;5;1;4;1;2;2;1;2;3;1;1;5;1;2;1;5;1;3;4;1;5;3;4;2;1;2;2;3;5;4;4;3;2;4;3;5;4;4;4;3;4;2;1;1;1;1;3;3;3;3;2;2;2;2;1;o
F;22;7;4;4;4;3;3;1;2;2;2;1;1;1;3;1;2;4;1;4;1;4;4;1;3;1;3;4;1;1;4;4;4;3;1;4;3;3;5;4;6;6;4;7;7;7;6;4;6;4;6;6;7;7;8;8;8;7;6;6;o
F;20;7;4;4;4;4;4;5;3;2;3;1;2;1;2;1;2;3;1;3;2;4;4;2;4;3;4;3;4;2;4;2;1;4;4;4;3;2;6;4;6;4;5;7;6;4;4;4;4;4;4;7;10;7;2;2;3;0;6;6;o
F;21;7;6;7;4;6;5;2;3;1;4;1;1;1;4;4;3;2;1;4;2;5;3;1;4;1;4;2;5;1;4;2;4;2;2;4;2;4;7;7;6;7;6;7;7;7;6;5;6;5;1;6;9;8;9;8;0;6;0;7;o
F;20;7;6;5;6;2;3;2;4;2;3;1;2;1;4;3;2;3;3;2;2;3;3;1;3;2;4;1;4;1;4;1;4;2;1;4;2;3;4;5;6;4;3;5;5;5;5;4;5;2;2;6;8;6;7;7;4;2;5;7;o
F;20;7;5;5;4;2;3;2;3;2;3;1;2;1;4;3;2;3;1;3;2;4;3;2;4;1;4;2;4;3;4;1;4;3;1;4;3;4;5;6;6;6;6;6;5;6;5;4;5;5;4;7;8;7;7;7;7;5;5;8;o
